Date,Hammer Time,Open,High,Low,Close,Previous 1Hr Fall,Max Move Next 30 Min,SL Hit,SL Hit Time
2019-10-24,2019-10-24 13:30:00,29220.6,29227.4,29151.8,29211.0,425.9,36.8,True,2019-10-24 13:40:00
2019-10-24,2019-10-24 13:45:00,29113.4,29113.4,28994.2,29081.0,439.3,54.8,False,
2019-10-24,2019-10-24 14:15:00,29090.6,29094.2,28997.8,29061.9,333.2,135.8,False,
2019-10-25,2019-10-25 12:45:00,29012.8,29012.8,28931.1,28989.3,273.7,53.7,False,
2019-10-25,2019-10-25 14:25:00,29245.9,29258.6,29186.8,29253.8,291.4,155.3,False,
2019-10-30,2019-10-30 10:45:00,30076.4,30080.7,30039.8,30071.3,304.9,1.9,True,2019-10-30 10:55:00
2019-10-30,2019-10-30 11:05:00,30011.0,30014.7,29975.6,29999.8,220.0,0.0,True,2019-10-30 11:10:00
2019-11-04,2019-11-04 11:55:00,30313.6,30320.0,30271.7,30303.6,318.9,0.0,True,2019-11-04 12:00:00
2019-11-06,2019-11-06 12:35:00,30503.3,30504.2,30459.4,30491.0,389.8,32.6,False,
2019-11-07,2019-11-07 10:35:00,30626.8,30640.2,30601.9,30636.5,282.9,9.6,True,2019-11-07 10:45:00
2019-11-08,2019-11-08 10:20:00,30783.2,30791.5,30763.6,30791.5,283.3,7.4,True,2019-11-08 10:30:00
2019-11-08,2019-11-08 12:25:00,30965.6,30969.3,30921.7,30968.9,252.7,55.3,False,
2019-11-08,2019-11-08 12:55:00,30980.2,30986.0,30952.2,30986.0,246.8,122.4,False,
2019-11-08,2019-11-08 13:50:00,30925.4,30934.9,30903.8,30931.9,249.3,53.0,True,2019-11-08 14:15:00
2019-11-11,2019-11-11 10:15:00,30896.8,30902.6,30865.1,30901.3,297.0,5.9,True,2019-11-11 10:25:00
2019-11-14,2019-11-14 12:15:00,30511.2,30514.5,30467.3,30506.2,230.1,81.0,False,
2019-11-14,2019-11-14 12:50:00,30496.0,30507.8,30480.3,30502.4,205.3,90.3,False,
2019-11-15,2019-11-15 10:50:00,31067.1,31076.7,31005.7,31049.0,289.7,9.3,True,2019-11-15 11:00:00
2019-11-26,2019-11-26 14:40:00,31522.1,31555.8,31465.8,31540.1,235.9,167.1,False,
2019-11-26,2019-11-26 14:50:00,31603.0,31611.1,31564.7,31611.1,266.5,239.2,False,
2019-12-09,2019-12-09 14:25:00,31319.6,31319.6,31265.3,31302.7,247.5,84.0,False,
2019-12-30,2019-12-30 11:40:00,32381.8,32384.8,32337.1,32370.3,215.4,38.8,True,2019-12-30 12:10:00
2020-01-07,2020-01-07 11:40:00,31486.6,31489.8,31458.4,31483.2,309.5,0.0,True,2020-01-07 11:45:00
2020-01-07,2020-01-07 13:20:00,31268.2,31282.8,31237.9,31280.8,230.8,0.0,True,2020-01-07 13:25:00
2020-01-10,2020-01-10 13:40:00,32124.6,32124.6,32079.6,32111.8,220.1,43.0,True,2020-01-10 14:05:00
2020-01-20,2020-01-20 13:20:00,31220.2,31222.3,31185.2,31214.3,220.9,48.7,False,
2020-01-20,2020-01-20 14:35:00,31136.1,31145.3,31109.6,31141.9,234.2,0.0,True,2020-01-20 14:45:00
2020-01-28,2020-01-28 14:50:00,30715.8,30718.1,30661.0,30700.8,273.6,102.4,False,
2020-01-28,2020-01-28 14:55:00,30699.5,30717.3,30656.3,30717.3,299.8,85.9,False,
2020-02-01,2020-02-01 13:45:00,30080.8,30109.6,29926.3,30096.8,778.0,302.0,False,
2020-02-03,2020-02-03 10:40:00,30020.4,30021.2,29965.4,30013.8,419.3,59.4,False,
2020-02-03,2020-02-03 11:30:00,29880.2,29880.4,29811.9,29875.7,226.1,76.7,False,
2020-02-05,2020-02-05 14:20:00,30960.4,30966.7,30938.8,30953.2,208.2,112.6,False,
2020-02-05,2020-02-05 14:35:00,31027.4,31031.4,30985.4,31015.3,268.4,0.0,True,2020-02-05 14:40:00
2020-02-06,2020-02-06 12:05:00,31207.2,31231.2,31136.4,31225.5,326.6,78.5,False,
2020-02-17,2020-02-17 10:15:00,30772.8,30773.3,30691.9,30756.8,353.8,87.3,False,
2020-02-25,2020-02-25 10:25:00,30497.3,30500.9,30469.6,30488.1,223.8,36.5,False,
2020-02-28,2020-02-28 12:20:00,29222.6,29249.2,29161.0,29244.2,223.7,175.6,False,
2020-03-02,2020-03-02 14:45:00,29330.7,29330.7,29265.1,29315.6,299.5,25.0,True,2020-03-02 14:55:00
2020-03-03,2020-03-03 10:15:00,29106.2,29129.6,28935.0,29051.8,288.7,0.0,True,2020-03-03 10:30:00
2020-03-03,2020-03-03 14:15:00,29097.7,29100.6,28971.0,29065.4,305.9,202.0,False,
2020-03-04,2020-03-04 10:25:00,28855.9,28868.1,28823.8,28865.4,220.9,55.8,True,2020-03-04 10:45:00
2020-03-04,2020-03-04 13:00:00,28608.3,28614.2,28565.8,28598.8,296.5,0.0,True,2020-03-04 13:05:00
